,Aircraft,Flight Phase,Date,Fault Text,Report Maintenance
0,2640,,2006-05-14 16:19:00,FDE_Other02,
1,2640,Enroute Cruise,2006-07-01 15:17:00,FDE_B_System3,RMA_A_System3
2,2640,Enroute Cruise,2006-07-01 15:17:00,FDE_C_System3,RMA_A_System3
3,2640,Enroute Cruise,2006-07-02 04:48:00,FDE_B_System3,RMA_A_System3
4,2640,Enroute Cruise,2006-07-02 04:48:00,FDE_C_System3,RMA_A_System3
5,2640,Descent,2006-07-07 18:54:00,FDE_B_System3,RMA_A_System3
6,2640,Descent,2006-07-07 18:54:00,FDE_C_System3,RMA_A_System3
7,2640,Descent,2006-07-29 13:11:00,FDE_C_System4,RMA_A_System4
8,2640,Descent,2006-07-29 13:11:00,FDE_C_System4,RMA_B_System4
9,2640,Descent,2006-07-29 13:11:00,FDE_B_System4,RMA_A_System4
10,2640,Descent,2006-07-29 13:11:00,FDE_B_System4,RMA_B_System4
11,2640,Descent,2006-08-26 10:40:00,FDE_B_System3,RMA_A_System3
12,2640,Descent,2006-08-26 10:40:00,FDE_C_System3,RMA_A_System3
13,2640,Descent,2006-09-19 01:26:00,FDE_B_System3,RMA_A_System3
14,2640,Descent,2006-09-19 01:26:00,FDE_C_System3,RMA_A_System3
15,2640,Enroute Cruise,2006-09-20 19:41:00,FDE_C_System4,RMA_A_System4
16,2640,Enroute Cruise,2006-09-20 19:41:00,FDE_C_System4,RMA_B_System4
17,2640,Enroute Cruise,2006-09-20 19:41:00,FDE_B_System3,RMA_A_System3
18,2640,Enroute Cruise,2006-09-20 19:41:00,FDE_B_System4,RMA_A_System4
19,2640,Enroute Cruise,2006-09-20 19:41:00,FDE_B_System4,RMA_B_System4
20,2640,Enroute Cruise,2006-09-20 19:41:00,FDE_C_System3,RMA_A_System3
21,2640,Climb,2006-09-21 15:30:00,FDE_G_System3,RMA_I_System3
22,2640,Climb,2006-09-25 15:34:00,FDE_G_System3,RMA_I_System3
23,2640,Enroute Cruise,2006-10-18 15:40:00,FDE_B_System3,RMA_A_System3
24,2640,Enroute Cruise,2006-10-18 15:40:00,FDE_C_System3,RMA_A_System3
25,2640,Descent,2006-10-22 08:48:00,FDE_B_System3,RMA_A_System3
