Aircraft,Component,System,Date,Reason,Time Hours,Time Cycles 

1140,REM_Component_A,System1,2006-05-29,3,118123,15961
1140,REM_Component_A,System1,2006-05-29,3,118123,15961
1140,REM_Component_B,System1,2006-05-29,3,1092,139
1140,REM_Component_B,System3,2006-06-24,3,312,37
1140,REM_Component_B,System3,2006-07-10,3,118698,16028
1140,REM_Component_B,System3,2006-07-10,3,263,30
1140,REM_Component_B,System1,2006-08-13,3,7158,870
1140,REM_Component_C, ,2006-08-13,4,8627,1053
1140,REM_Component_A,System2,2006-08-14,3,10363,1257
1140,REM_Component_D, ,2007-03-28,3,7943,954
1140,REM_Component_E, ,2007-04-04,3,40509,5069
1140,REM_Component_F,System2,2007-04-04,3,17864,2185
1140,REM_Component_B,System3,2007-04-13,3,3815,454
1140,REM_Component_B,System2,2007-04-19,3,2384,288
1140,REM_Component_D, ,2007-05-21,3,12783,1554
1140,REM_Component_B,System3,2007-06-17,3,814,104
1140,REM_Component_G,System2,2007-08-13,3,3770,459
1140,REM_Component_D, ,2007-08-19,3,124074,16674
1140,REM_Component_D, ,2007-08-24,3,24864,3083
1140,REM_Component_H, ,2007-09-17,3,10701,1286
1140,REM_Component_H, ,2007-10-31,3,11297,1358
1140,REM_Component_I, ,2007-10-31,3,15319,1856
1140,REM_Component_B,System3,2007-11-10,3,1936,228
1140,REM_Component_E, ,2007-12-12,3,44276,5532
1140,REM_Component_B,System4,2008-06-18,2,172,21
2209,REM_Component_B,System1,2006-03-23,3,544,67
2209,REM_Component_B,System1,2006-04-03,3,140,18
2209,REM_Component_A,System1,2006-04-05,3,116607,15919
2209,REM_Component_A,System1,2006-04-05,3,1516,190
2209,REM_Component_D, ,2006-05-08,3,11691,1429
2209,REM_Component_D, ,2006-05-16,3,887,112
2209,REM_Component_B,System1,2006-05-31,3,631,82
2209,REM_Component_J, ,2006-07-03,3,1522,190
2209,REM_Component_D, ,2006-09-18,3,1663,199
2209,REM_Component_B,System2,2006-09-18,3,8120,993
2209,REM_Component_D, ,2006-09-25,3,105,12
2209,REM_Component_B,System3,2006-11-20,3,15179,1850
2209,REM_Component_H, ,2006-11-25,3,11337,1376
2209,REM_Component_H, ,2006-11-30,3,86,10
2209,REM_Component_A,System4,2007-03-29,3,27409,3431
2209,REM_Component_G,System4,2007-03-29,3,17009,2077
2209,REM_Component_B,System4,2007-06-18,3,932,101
2209,REM_Component_A,System4,2007-07-13,3,3387,362
2209,REM_Component_B,System4,2007-09-07,3,952,110
2209,REM_Component_B,System4,2007-11-27,3,1125,130
2209,REM_Component_A,System1,2007-12-28,3,2242,258
2209,REM_Component_B,System4,2007-12-28,3,92,10
2209,REM_Component_B,System4,2008-01-13,3,104,14
2209,REM_Component_B,System4,2008-04-06,3,1083,134
2209,REM_Component_D, ,2008-04-27,3,125640,17011
2209,REM_Component_D, ,2008-04-27,3,8687,1048
2209,REM_Component_D, ,2008-06-07,3,15366,1870
2209,REM_Component_H, ,2008-09-18,3,17916,2171
2209,REM_Component_A,System3,2008-09-20,3,4849,523
2209,REM_Component_D, ,2008-12-22,3,10085,1198
2209,REM_Component_I, ,2009-01-31,3,129373,17439
2209,REM_Component_I, ,2009-02-13,3,50445,6275
2209,REM_Component_I, ,2009-02-13,3,188,25
2209,REM_Component_G,System2,2009-02-27,3,129766,17489
2209,REM_Component_G,System2,2009-02-27,3,19330,2326
2209,REM_Component_A,System1,2009-03-13,3,129866,17501
2209,REM_Component_D, ,2009-04-16,3,23173,2796
2209,REM_Component_J, ,2009-04-16,3,31035,3789
1419,REM_Component_B,System1,2006-05-31,3,127715,15758
1419,REM_Component_B,System3,2006-05-31,3,2727,278
1419,REM_Component_A,System1,2006-06-02,3,127756,15762
1419,REM_Component_A, ,2006-06-02,3,53564,2159
1419,REM_Component_J, ,2006-08-21,3,128711,15866
1419,REM_Component_J, ,2006-08-21,3,23265,2473
1419,REM_Component_A,System2,2006-09-27,3,6985,1205
1419,REM_Component_A, ,2006-09-27,4,6982,1205
1419,REM_Component_G,System3,2006-09-27,3,4325,452
1419,REM_Component_B,System2,2006-09-27,3,129262,15926
1419,REM_Component_G,System3,2006-10-04,3,61,6
1419,REM_Component_K,System1,2006-10-04,3,17453,1832
1419,REM_Component_B,System2,2006-12-24,3,1004,106
1419,REM_Component_B,System2,2006-12-25,3,130266,16032
1419,REM_Component_D, ,2007-01-03,3,40820,4439
1419,REM_Component_B,System1,2007-01-03,3,2664,286
1419,REM_Component_J, ,2007-01-10,3,130478,16054
1419,REM_Component_J, ,2007-01-10,3,39213,4256
1419,REM_Component_D, ,2007-01-10,3,10915,1141
1419,REM_Component_A,System2,2007-07-26,3,2279,237
1419,REM_Component_F, ,2007-08-19,3,132890,16305
1419,REM_Component_G,System2,2007-09-23,4,10615,1538
