Aircraft;Component;System;Date;Reason;Time Hours; Time Cycles
1140;MME_Component_A;System1;29/05/2006;3;118123;15961
1140;MME_Component_A;System1;29/05/2006;3;118123;15961
1140;MME_Component_B;System1;29/05/2006;3;1092;139
1140;MME_Component_B;System3;24/06/2006;3;312;37
1140;MME_Component_B;System3;10/07/2006;3;118698;16028
1140;MME_Component_B;System3;10/07/2006;3;263;30
1140;MME_Component_B;System1;13/08/2006;3;7158;870
1140;MME_Component_C; ;13/08/2006;4;8627;1053
1140;MME_Component_A;System2;14/08/2006;3;10363;1257
1140;MME_Component_D; ;28/03/2007;3;7943;954
1140;MME_Component_E; ;04/04/2007;3;40509;5069
1140;MME_Component_F;2;04/04/2007;3;17864;2185
1140;MME_Component_B;System3;13/04/2007;3;3815;454
1140;MME_Component_B;System2;19/04/2007;3;2384;288
1140;MME_Component_D; ;21/05/2007;3;12783;1554
1140;MME_Component_B;System3;17/06/2007;3;814;104
1140;MME_Component_G;System2;13/08/2007;3;3770;459
1140;MME_Component_D; ;19/08/2007;3;124074;16674
1140;MME_Component_D; ;24/08/2007;3;24864;3083
1140;MME_Component_H; ;17/09/2007;3;10701;1286
1140;MME_Component_H; ;31/10/2007;3;11297;1358
1140;MME_Component_I; ;31/10/2007;3;15319;1856
1140;MME_Component_B;System3;10/11/2007;3;1936;228
1140;MME_Component_E; ;12/12/2007;3;44276;5532
1140;MME_Component_B;System4;18/06/2008;2;172;21
2209;MME_Component_B;System1;23/03/2006;3;544;67
2209;MME_Component_B;System1;03/04/2006;3;140;18
2209;MME_Component_A;System1;05/04/2006;3;116607;15919
2209;MME_Component_A;System1;05/04/2006;3;1516;190
2209;MME_Component_D; ;08/05/2006;3;11691;1429
2209;MME_Component_D; ;16/05/2006;3;887;112
2209;MME_Component_B;System1;31/05/2006;3;631;82
2209;MME_Component_J; ;03/07/2006;3;1522;190
2209;MME_Component_D; ;18/09/2006;3;1663;199
2209;MME_Component_B;System2;18/09/2006;3;8120;993
2209;MME_Component_D; ;25/09/2006;3;105;12
2209;MME_Component_B;System3;20/11/2006;3;15179;1850
2209;MME_Component_H; ;25/11/2006;3;11337;1376
2209;MME_Component_H; ;30/11/2006;3;86;10
2209;MME_Component_A;System4;29/03/2007;3;27409;3431
2209;MME_Component_G;System4;29/03/2007;3;17009;2077
2209;MME_Component_B;System4;18/06/2007;3;932;101
2209;MME_Component_A;System4;13/07/2007;3;3387;362
2209;MME_Component_B;500;01/09/2007;3;122821;16674
2209;MME_Component_B;System4;07/09/2007;3;952;110
2209;MME_Component_B;System4;27/11/2007;3;1125;130
2209;MME_Component_A;System1;28/12/2007;3;2242;258
2209;MME_Component_B;System4;28/12/2007;3;92;10
2209;MME_Component_B;System4;13/01/2008;3;104;14
2209;MME_Component_B;System4;06/04/2008;3;1083;134
2209;MME_Component_D; ;27/04/2008;3;125640;17011
2209;MME_Component_D; ;27/04/2008;3;8687;1048
2209;MME_Component_D; ;07/06/2008;3;15366;1870
2209;MME_Component_H; ;18/09/2008;3;17916;2171
2209;MME_Component_A;System3;20/09/2008;3;4849;523
2209;MME_Component_D; ;22/12/2008;3;10085;1198
2209;MME_Component_I; ;31/01/2009;3;129373;17439
2209;MME_Component_I; ;13/02/2009;3;50445;6275
2209;MME_Component_I; ;13/02/2009;3;188;25
2209;MME_Component_G;System2;27/02/2009;3;129766;17489
2209;MME_Component_G;System2;27/02/2009;3;19330;2326
2209;MME_Component_A;System1;13/03/2009;3;129866;17501
2209;MME_Component_D; ;16/04/2009;3;23173;2796
2209;MME_Component_J; ;16/04/2009;3;31035;3789
1419;MME_Component_B;System1;31/05/2006;3;127715;15758
1419;MME_Component_B;System3;31/05/2006;3;2727;278
1419;MME_Component_A;System1;02/06/2006;3;127756;15762
1419;MME_Component_A; ;02/06/2006;3;53564;2159
1419;MME_Component_J; ;21/08/2006;3;128711;15866
1419;MME_Component_J; ;21/08/2006;3;23265;2473
1419;MME_Component_A;System2;27/09/2006;3;6985;1205
1419;MME_Component_A; ;27/09/2006;4;6982;1205
1419;MME_Component_G;System3;27/09/2006;3;4325;452
1419;MME_Component_B;System2;27/09/2006;3;129262;15926
1419;MME_Component_G;System3;04/10/2006;3;61;6
1419;MME_Component_K;001A;04/10/2006;3;17453;1832
1419;MME_Component_B;System2;24/12/2006;3;1004;106
1419;MME_Component_B;System2;25/12/2006;3;130266;16032
1419;MME_Component_D; ;03/01/2007;3;40820;4439
1419;MME_Component_B;System1;03/01/2007;3;2664;286
1419;MME_Component_J; ;10/01/2007;3;130478;16054
1419;MME_Component_J; ;10/01/2007;3;39213;4256
1419;MME_Component_D; ;10/01/2007;3;10915;1141
1419;MME_Component_A;System2;26/07/2007;3;2279;237
1419;MME_Component_F; ;19/08/2007;3;132890;16305
1419;MME_Component_G;System2;23/09/2007;4;10615;1538
1419;MME_Component_D; ;30/09/2007;3;27922;2962
1419;MME_Component_B;System4;10/12/2007;3;134466;16470
1419;MME_Component_A;System1;04/01/2008;3;7096;748
1419;MME_Component_B;System1;04/01/2008;3;4473;466
1419;MME_Component_B;System4;05/03/2008;3;1184;124
1419;MME_Component_F;4;27/03/2008;3;23195;2430
1419;MME_Component_A;System4;29/03/2008;3;24090;2528
1419;MME_Component_B;System4;01/04/2008;3;394;44
1419;MME_Component_B;System1;27/04/2008;3;1578;168
1419;MME_Component_L; ;21/06/2008;3;76452;8431
1419;MME_Component_B;System4;06/07/2008;3;7387;790
1419;MME_Component_M;System1;08/07/2008;3;13882;1590
1419;MME_Component_D; ;23/08/2008;3;32996;3505
1419;MME_Component_B;System3;31/08/2008;3;7121;764
1419;MME_Component_B;System3;11/09/2008;3;138407;16890
1419;MME_Component_B;System3;11/09/2008;3;156;17
1419;MME_Component_B;System1;02/10/2008;3;2266;244
1419;MME_Component_B;System1;27/10/2008;3;139050;16960
1419;MME_Component_B;System1;05/11/2008;3;487;51
1419;MME_Component_B;System1;11/11/2008;3;230;24
1419;MME_Component_A;System1;12/11/2008;3;4428;474
1419;MME_Component_D; ;05/12/2008;3;139655;17026
1419;MME_Component_D; ;05/12/2008;3;1526;166
1419;MME_Component_B;System2;09/12/2008;3;3273;365
1419;MME_Component_A;System1;29/01/2009;3;17251;1954
1419;MME_Component_D; ;22/03/2009;3;10584;1122
1419;MME_Component_A;System3;25/03/2009;3;9321;994
2567;MME_Component_A;System2;20/07/2006;3;15261;1624
2567;MME_Component_D; ;29/07/2006;3;14897;1577
2567;MME_Component_A;System2;21/09/2006;3;16206;1726
2567;MME_Component_A;System2;21/09/2006;3;3536;377
2567;MME_Component_D; ;10/11/2006;3;9097;958
2567;MME_Component_F;3;07/04/2007;3;15728;1661
2567;MME_Component_J; ;08/04/2007;3;43529;4801
2567;MME_Component_B;System2;09/04/2007;3;132575;16219
2567;MME_Component_D; ;17/04/2007;3;16578;1753
2567;MME_Component_B;System2;21/04/2007;3;17999;1907
2567;MME_Component_D; ;06/06/2007;3;4432;464
2567;MME_Component_B;System3;16/07/2007;3;6940;736
2567;MME_Component_B;System2;23/07/2007;3;1599;168
2567;MME_Component_G;System2;30/07/2007;3;19498;2063
2567;MME_Component_D; ;19/08/2007;3;16478;1740
2567;MME_Component_D; ;23/09/2007;3;4492;468
2567;MME_Component_J; ;27/09/2007;3;45518;5003
2567;MME_Component_B;System2;25/11/2007;3;1743;180
2567;MME_Component_B;System2;06/12/2007;3;160;18
2567;MME_Component_G;System2;31/01/2008;3;2544;268
2567;MME_Component_F;3;06/03/2008;3;4732;498
2567;MME_Component_B;System3;08/03/2008;3;1524;168
2567;MME_Component_F;3;14/03/2008;3;127;13
2567;MME_Component_G;System2;20/04/2008;3;28806;3051
2567;MME_Component_A; ;17/11/2008;3;137735;16761
2567;MME_Component_F;2;04/12/2008;4;20888;2203
2567;MME_Component_F;4;04/12/2008;4;20888;2203
2567;MME_Component_F;3;04/12/2008;4;301;31
2567;MME_Component_F;1;04/12/2008;4;20888;2203
2567;MME_Component_L; ;04/12/2008;4;128519;15403
2567;MME_Component_L; ;04/12/2008;4;30509;3264
2567;MME_Component_L; ;04/12/2008;4;23890;2525
2567;MME_Component_F;2;04/12/2008;4;20888;2203
2567;MME_Component_F;1;04/12/2008;4;20888;2203
2567;MME_Component_F;3;04/12/2008;4;20888;2203
2567;MME_Component_F;4;04/12/2008;4;19643;2074
2567;MME_Component_N; ;04/12/2008;4;111373;13011
2567;MME_Component_N; ;04/12/2008;4;29890;3196
2567;MME_Component_N; ;04/12/2008;4;39070;4241
2567;MME_Component_N; ;04/12/2008;4;38655;4193
2567;MME_Component_I; ;04/12/2008;4;79106;8794
2567;MME_Component_I; ;04/12/2008;4;30620;3278
2567;MME_Component_I; ;04/12/2008;4;30875;3308
2567;MME_Component_I; ;04/12/2008;4;13212;1394
2567;MME_Component_O; ;05/12/2008;4;49883;5470
2567;MME_Component_O; ;05/12/2008;4;49883;5470
2567;MME_Component_O; ;05/12/2008;4;20888;2203
2567;MME_Component_E; ;05/12/2008;4;38269;4145
2567;MME_Component_E; ;05/12/2008;4;55760;6135
2567;MME_Component_E; ;05/12/2008;4;61715;6806
2567;MME_Component_E; ;05/12/2008;4;33010;3549
2567;MME_Component_E; ;05/12/2008;4;11396;1201
2567;MME_Component_J; ;05/12/2008;4;42861;4672
2567;MME_Component_J; ;05/12/2008;4;28094;2999
2567;MME_Component_J; ;05/12/2008;4;2595;276
2567;MME_Component_J; ;05/12/2008;4;5160;542
2567;MME_Component_D; ;05/12/2008;4;4222;446
2567;MME_Component_D; ;05/12/2008;4;5030;528
2567;MME_Component_D; ;05/12/2008;4;2651;282
2567;MME_Component_D; ;05/12/2008;4;3186;336
2567;MME_Component_H; ;05/12/2008;4;21433;2263
2567;MME_Component_H; ;05/12/2008;4;21227;2241
2567;MME_Component_H; ;05/12/2008;4;20534;2166
2567;MME_Component_H; ;05/12/2008;4;24854;2631
2567;MME_Component_K;001A;05/12/2008;4;30638;3280
2567;MME_Component_P; ;05/12/2008;4;126681;15152
2567;MME_Component_M;System1;08/12/2008;4;21274;2628
2567;MME_Component_M;System2;08/12/2008;4;28818;3053
2567;MME_Component_M;System4;08/12/2008;4;22917;2813
2567;MME_Component_A;System1;08/12/2008;4;9410;1137
2567;MME_Component_A;System4;08/12/2008;4;22917;2813
2567;MME_Component_A;System2;08/12/2008;4;1605;168
2567;MME_Component_A;System3;08/12/2008;4;10737;1276
2567;MME_Component_A;System1;08/12/2008;4;21274;2628
2567;MME_Component_A;System2;08/12/2008;4;6213;648
2567;MME_Component_A;System3;08/12/2008;4;13678;1619
2567;MME_Component_G;System4;08/12/2008;4;22917;2813
2567;MME_Component_G;System1;08/12/2008;4;15150;1843
2567;MME_Component_G;System3;08/12/2008;4;13678;1619
2567;MME_Component_G;System2;08/12/2008;4;12;2
2567;MME_Component_B;System2;08/12/2008;4;9802;1027
2567;MME_Component_B;System4;08/12/2008;4;460;53
2567;MME_Component_B;System1;08/12/2008;4;9410;1137
2567;MME_Component_B;System3;08/12/2008;4;388;40
2567;MME_Component_C; ;08/12/2008;4;36570;3951
2567;MME_Component_F; ;08/12/2008;4;56202;6186
2361;MME_Component_J; ;01/04/2006;3;2410;248
2361;MME_Component_J; ;02/04/2006;3;24719;2610
2361;MME_Component_A;System4;03/04/2006;3;16353;1711
2361;MME_Component_D; ;03/04/2006;3;33405;3581
2361;MME_Component_B;System1;08/09/2006;3;1831;188
2361;MME_Component_A;System4;12/11/2006;3;2845;296
2361;MME_Component_B;System4;12/11/2006;3;22409;2353
2361;MME_Component_A;System3;18/01/2007;3;5411;564
2361;MME_Component_B;System2;18/01/2007;3;12436;1299
2361;MME_Component_I; ;07/03/2007;3;129914;15720
2361;MME_Component_B;System3;29/03/2007;3;8218;858
2361;MME_Component_N; ;29/03/2007;3;37456;4001
2361;MME_Component_I; ;02/04/2007;3;13744;1438
2361;MME_Component_H; ;09/07/2007;3;58056;6315
2361;MME_Component_A;System2;15/08/2007;3;21952;2855
2361;MME_Component_I; ;23/09/2007;3;2729;292
2361;MME_Component_E; ;04/01/2008;3;114353;13326
2361;MME_Component_A;System2;29/04/2008;3;135754;16346
2361;MME_Component_A;System3;09/05/2008;3;6225;660
2361;MME_Component_F;1;15/05/2008;3;19561;2062
2361;MME_Component_A;System2;17/05/2008;3;3856;414
2361;MME_Component_A;System2;22/06/2008;3;9947;1064
2361;MME_Component_I; ;23/06/2008;3;57965;6280
2361;MME_Component_B;500;26/06/2008;3;136451;16426
2361;MME_Component_B;System2;26/06/2008;3;7165;772
2361;MME_Component_B;System1;02/07/2008;3;94;10
2361;MME_Component_A;System2;09/07/2008;3;217;22
2361;MME_Component_A;System2;10/07/2008;3;136630;16444
2361;MME_Component_B;System3;30/07/2008;3;2830;299
2361;MME_Component_H; ;05/04/2009;4;24720;2609
2361;MME_Component_H; ;05/04/2009;4;19563;2066
2361;MME_Component_H; ;05/04/2009;4;14853;1575
2361;MME_Component_H; ;05/04/2009;4;5405;587
2361;MME_Component_I; ;05/04/2009;4;39889;4237
2361;MME_Component_I; ;05/04/2009;4;4426;481
2361;MME_Component_I; ;05/04/2009;4;656;71
2361;MME_Component_Q; ;05/04/2009;4;53247;5752
2361;MME_Component_E; ;05/04/2009;4;53247;5752
2361;MME_Component_E; ;05/04/2009;4;12263;1307
2361;MME_Component_E; ;05/04/2009;4;2957;325
2361;MME_Component_K;001A;05/04/2009;4;47317;5089
2361;MME_Component_O; ;05/04/2009;4;47024;5055
2361;MME_Component_O; ;05/04/2009;4;47024;5055
2361;MME_Component_O; ;05/04/2009;4;40599;4316
2361;MME_Component_D; ;05/04/2009;4;11934;1273
2361;MME_Component_D; ;05/04/2009;4;13948;1479
2361;MME_Component_D; ;05/04/2009;4;20676;2186
2361;MME_Component_D; ;05/04/2009;4;11538;1231
2361;MME_Component_N; ;05/04/2009;4;97159;10938
2361;MME_Component_N; ;05/04/2009;4;82101;9014
2361;MME_Component_N; ;05/04/2009;4;68179;7434
2361;MME_Component_N; ;05/04/2009;4;6900;745
2361;MME_Component_J; ;05/04/2009;4;11538;1231
2361;MME_Component_J; ;05/04/2009;4;20676;2186
2361;MME_Component_J; ;05/04/2009;4;28327;2991
2361;MME_Component_J; ;05/04/2009;4;11538;1231
2361;MME_Component_J; ;05/04/2009;4;4972;539
2361;MME_Component_P; ;05/04/2009;4;20677;2187
2361;MME_Component_L; ;05/04/2009;4;55227;5971
2361;MME_Component_L; ;05/04/2009;4;107544;12306
2361;MME_Component_L; ;05/04/2009;4;36787;3901
2361;MME_Component_L; ;05/04/2009;4;20993;2221
2361;MME_Component_L; ;05/04/2009;4;28005;2955
2361;MME_Component_L; ;05/04/2009;4;26148;2753
2361;MME_Component_F;3;05/04/2009;4;20677;2187
2361;MME_Component_F;1;05/04/2009;4;1116;125
2361;MME_Component_F;4;05/04/2009;4;20677;2187
2361;MME_Component_F;2;05/04/2009;4;20677;2187
2361;MME_Component_F;4;05/04/2009;4;20677;2187
2361;MME_Component_F;3;05/04/2009;4;20677;2187
2361;MME_Component_F;1;05/04/2009;4;20677;2187
2361;MME_Component_F;2;05/04/2009;4;20677;2187
2361;MME_Component_M;System1;06/04/2009;4;36363;3876
2361;MME_Component_M;System2;06/04/2009;4;21199;2228
2361;MME_Component_M;System3;06/04/2009;4;26429;2779
2361;MME_Component_M;System4;06/04/2009;4;42856;4992
2361;MME_Component_G;System1;06/04/2009;4;36363;3876
2361;MME_Component_G;System2;06/04/2009;4;2191;232
2361;MME_Component_G;System3;06/04/2009;4;26429;2779
2361;MME_Component_G;System4;06/04/2009;4;781;89
2361;MME_Component_B;System1;06/04/2009;4;131465;15657
2361;MME_Component_B;System2;06/04/2009;4;27241;2875
2361;MME_Component_B;System1;06/04/2009;4;1763;189
2361;MME_Component_B;System4;06/04/2009;4;3658;440
2361;MME_Component_B;System3;06/04/2009;4;134;15
2361;MME_Component_A;System2;06/04/2009;4;2191;232
2361;MME_Component_A;System3;06/04/2009;4;2756;292
2361;MME_Component_A;System1;06/04/2009;4;36363;3876
2361;MME_Component_A;System4;06/04/2009;4;6371;761
2361;MME_Component_A;System1;06/04/2009;4;1798;193
2361;MME_Component_A;System4;06/04/2009;4;2586;313
2361;MME_Component_A;System4;06/04/2009;4;7581;913
2361;MME_Component_C; ;09/04/2009;4;30468;3219
2982;MME_Component_B;System3;08/04/2006;3;399;40
2982;MME_Component_B;System1;03/05/2006;3;5765;603
2982;MME_Component_D; ;16/10/2006;3;128220;15930
2982;MME_Component_D; ;16/10/2006;3;5009;530
2982;MME_Component_I; ;18/11/2006;3;54165;6007
2982;MME_Component_A;System2;24/12/2006;3;5705;605
2982;MME_Component_B;System1;20/01/2007;3;3454;368
2982;MME_Component_D; ;10/03/2007;3;11648;1232
2982;MME_Component_I; ;25/03/2007;3;55479;6149
2982;MME_Component_B;System3;28/05/2007;3;5443;574
2982;MME_Component_D; ;15/07/2007;3;131618;16284
2982;MME_Component_D; ;22/07/2007;3;16806;1761
